REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
R1623,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,5430.09,6642.39,270,NO
R1625,"Q_RES_0402LF-27.4,1%,1/16W ,CHA",27.4,1%,R0402,4344.63,6765.24,180,NO
R1627,"Q_RES_0402LF-27.4,1%,1/16W ,CHA",27.4,1%,R0402,4344.63,6725.24,180,NO
R1629,"Q_RES_0402LF-27.4,1%,1/16W ,CHA",27.4,1%,R0402,4344.63,6585.24,180,NO
R1633,"Q_RES_0402LF-27.4,1%,1/16W ,CHA",27.4,1%,R0402,4344.63,6545.24,180,NO
R1634,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,5390,6642.39,270,NO
R1635,"Q_RES_0402LF-100,1%,1/16W,CHIPA",100,1%,R0402,12896,2594,270,NO
R1637,"Q_RES_0402LF-27.4,1%,1/16W ,CHA",27.4,1%,R0402,4344.63,6495.24,180,NO
R1638,"Q_RES_0402LF-100,1%,1/16W,CHIPA",100,1%,R0402,15268,2574,270,NO
R1639,"Q_RES_0402LF-100,1%,1/16W,CHIPA",100,1%,R0402,13226,2594,270,NO
R1641,"Q_RES_0402LF-27.4,1%,1/16W ,CHA",27.4,1%,R0402,4344.63,6455.24,180,NO
R1642,"Q_RES_0402LF-100,1%,1/16W,CHIPA",100,1%,R0402,15629,2574,270,NO
R1643,"Q_RES_0402LF-100,1%,1/16W,CHIPA",100,1%,R0402,12856,2594,270,NO
R1645,"Q_RES_0402LF-27.4,1%,1/16W ,CHA",27.4,1%,R0402,4344.63,6325.24,180,NO
R1646,"Q_RES_0402LF-100,1%,1/16W,EMPTA",100,1%,R0402,15188,2574,270,NO
R1647,"Q_RES_0402LF-100,1%,1/16W,CHIPA",100,1%,R0402,15468.17,2574.58,270,NO
R1649,"Q_RES_0402LF-100,1%,1/16W,CHIPA",100,1%,R0402,13146,2594,270,NO
R1650,"Q_RES_0402LF-100,1%,1/16W,EMPTA",100,1%,R0402,15428,2574,270,NO
R1651,"Q_RES_0402LF-100,1%,1/16W,EMPTA",100,1%,R0402,13063.23,2594,270,NO
R1652,"Q_RES_0402LF-100,1%,1/16W,CHIPA",100,1%,R0402,15589,2574,270,NO
R1653,"Q_RES_0402LF-100,1%,1/16W,CHIPA",100,1%,R0402,13186,2594,270,NO
R1656,"Q_RES_0402LF-2.2K ,5%,1/16W,CHA",2.2K,5%,R0402,15043.09,2476.47,270,NO
R1658,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,15094.61,2264.23,90,NO
R1660,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,15084.29,2476.47,270,NO
R1661,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,12869.82,2271.79,180,NO
R1697,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,1551.81,7225.6,90,NO
R1698,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,8207.24,3121.96,0,YES
R1699,"Q_RES_0603LF-10M,1%,1/10W,CHIPA",10M,1%,R0603,8319.7,3365.64,180,YES
R1706,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,2461.87,6977.44,0,YES
R1714,"Q_RES_0402LF-1K,5%,1/16W,CHIP,A",1K,5%,R0402,16610.07,2215.18,90,NO
R1719,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,9190.58,3053.81,90,YES
